dep;jour;pop;P;T;Ti;Tp;Td;cl_age90
01;2020-05-13;656955,00;9,00;340,00;1,37;2,65;51,75;0
01;2020-05-14;656955,00;9,00;440,00;1,37;2,05;66,98;0
01;2020-05-15;656955,00;5,00;454,00;0,76;1,10;69,11;0
01;2020-05-16;656955,00;0,00;151,00;0,00;0,00;22,98;0
01;2020-05-17;656955,00;0,00;32,00;0,00;0,00;4,87;0
01;2020-05-18;656955,00;11,00;584,00;1,67;1,88;88,89;0
01;2020-05-19;656955,00;9,00;636,00;1,37;1,42;96,81;0
01;2020-05-20;656955,00;11,00;505,00;1,67;2,18;76,87;0
01;2020-05-21;656955,00;1,00;44,00;0,15;2,27;6,70;0
01;2020-05-22;656955,00;7,00;376,00;1,07;1,86;57,23;0
01;2020-05-23;656955,00;2,00;152,00;0,30;1,32;23,14;0
01;2020-05-24;656955,00;0,00;51,00;0,00;0,00;7,76;0
01;2020-05-25;656955,00;3,00;414,00;0,46;0,72;63,02;0
01;2020-05-26;656955,00;2,00;522,00;0,30;0,38;79,46;0
01;2020-05-27;656955,00;4,00;361,00;0,61;1,11;54,95;0
01;2020-05-28;656955,00;1,00;359,00;0,15;0,28;54,65;0
01;2020-05-29;656955,00;6,00;334,00;0,91;1,80;50,84;0
01;2020-05-30;656955,00;2,00;188,00;0,30;1,06;28,62;0
01;2020-05-31;656955,00;1,00;43,00;0,15;2,33;6,55;0
02;2020-05-13;526050,00;14,00;298,00;2,66;4,70;56,65;0
02;2020-05-14;526050,00;15,00;526,00;2,85;2,85;99,99;0
02;2020-05-15;526050,00;14,00;359,00;2,66;3,90;68,24;0
02;2020-05-16;526050,00;7,00;147,00;1,33;4,76;27,94;0
02;2020-05-17;526050,00;2,00;61,00;0,38;3,28;11,60;0
02;2020-05-18;526050,00;6,00;325,00;1,14;1,85;61,78;0
02;2020-05-19;526050,00;8,00;283,00;1,52;2,83;53,80;0
02;2020-05-20;526050,00;14,00;248,00;2,66;5,65;47,14;0
02;2020-05-21;526050,00;2,00;89,00;0,38;2,25;16,92;0
02;2020-05-22;526050,00;8,00;275,00;1,52;2,91;52,28;0
02;2020-05-23;526050,00;2,00;84,00;0,38;2,38;15,97;0
02;2020-05-24;526050,00;1,00;15,00;0,19;6,67;2,85;0
02;2020-05-25;526050,00;16,00;235,00;3,04;6,81;44,67;0
02;2020-05-26;526050,00;8,00;383,00;1,52;2,09;72,81;0
02;2020-05-27;526050,00;4,00;317,00;0,76;1,26;60,26;0
02;2020-05-28;526050,00;11,00;373,00;2,09;2,95;70,91;0
02;2020-05-29;526050,00;1,00;313,00;0,19;0,32;59,50;0
02;2020-05-30;526050,00;3,00;122,00;0,57;2,46;23,19;0
02;2020-05-31;526050,00;0,00;16,00;0,00;0,00;3,04;0
03;2020-05-13;331315,00;0,00;164,00;0,00;0,00;49,50;0
03;2020-05-14;331315,00;2,00;154,00;0,60;1,30;46,48;0
03;2020-05-15;331315,00;2,00;172,00;0,60;1,16;51,91;0
03;2020-05-16;331315,00;2,00;79,00;0,60;2,53;23,84;0
03;2020-05-17;331315,00;1,00;41,00;0,30;2,44;12,37;0
03;2020-05-18;331315,00;1,00;297,00;0,30;0,34;89,64;0
03;2020-05-19;331315,00;4,00;173,00;1,21;2,31;52,22;0
03;2020-05-20;331315,00;4,00;167,00;1,21;2,40;50,41;0
03;2020-05-21;331315,00;0,00;20,00;0,00;0,00;6,04;0
03;2020-05-22;331315,00;17,00;360,00;5,13;4,72;108,66;0
03;2020-05-23;331315,00;1,00;113,00;0,30;0,88;34,11;0
03;2020-05-24;331315,00;0,00;28,00;0,00;0,00;8,45;0
03;2020-05-25;331315,00;4,00;193,00;1,21;2,07;58,25;0
03;2020-05-26;331315,00;1,00;221,00;0,30;0,45;66,70;0
03;2020-05-27;331315,00;0,00;174,00;0,00;0,00;52,52;0
03;2020-05-28;331315,00;2,00;125,00;0,60;1,60;37,73;0
03;2020-05-29;331315,00;2,00;191,00;0,60;1,05;57,65;0
03;2020-05-30;331315,00;0,00;173,00;0,00;0,00;52,22;0
03;2020-05-31;331315,00;0,00;21,00;0,00;0,00;6,34;0
04;2020-05-13;165197,00;1,00;99,00;0,61;1,01;59,93;0
